ATR1,ATR2,ATR3,ATR4,ATR5,CLASS
410.6675,403.01875,1560.5475,44.090476,144.3475,POSITIVE
1581.8412,363.1875,185.0975,124.76071,261.60875,NEGATIVE
1406.955,455.6175,1392.77,200.35357,278.50125,POSITIVE
787.94,127.435,93.28375,51.785714,98.37375,NEGATIVE
276.9925,75.6725,140.63,14.788095,28.12,POSITIVE
1603.915,312.295,187.595,144.2369,178.19375,NEGATIVE
1310.4462,257.1775,105.71625,76.888095,225.50125,NEGATIVE
1464.8962,258.22,236.52125,75.538095,89.21625,NEGATIVE
2127.1212,440.86125,215.50125,193.08571,184.735,NEGATIVE
3321.245,842.635,281.86,155.26786,567.45125,NEGATIVE
3198.2537,555.09125,393.58375,158.71667,354.89875,NEGATIVE
2214.8075,523.03625,566.89625,215.16429,407.23375,NEGATIVE
1221.5188,277.09875,306.0025,25.136905,169.26875,NEGATIVE
1577.9175,326.055,264.90375,33.742857,16.9075,NEGATIVE
1933.9613,479.11,167.89125,161.53333,282.75,NEGATIVE
1637.2537,172.03375,287.45125,72.583333,241.1125,NEGATIVE
1105.5238,152.14,110.4975,39.083333,83.43125,NEGATIVE
1939.2338,973.3025,180.72875,106.20476,243.6475,NEGATIVE
1043.68,160.93125,220.48125,42.928571,97.7775,NEGATIVE
344.46625,181.1125,1109.5925,128.70595,75.985,POSITIVE
1828.965,203.87375,39.38125,119.54405,296.78,NEGATIVE
549.64625,102.8225,84.99375,100.85595,97.16875,NEGATIVE
528.8175,227.9925,449.395,174.29643,225.1075,POSITIVE
1405.2187,463.7625,1550.9112,167.39167,298.17125,POSITIVE
2513.4687,417.49,275.6525,35.829762,346,NEGATIVE
1859.8137,581.1625,749.4075,220.92381,285.67125,NEGATIVE
2106.2262,403.8825,288.4,119.11667,574.10375,NEGATIVE
1361.4275,726.91125,182.135,102.17381,316.14625,NEGATIVE
524.56125,592.89875,328.3675,117.62143,65.9125,POSITIVE
652.2,239.06375,322.62875,99.292857,277.47875,NEGATIVE
1178.2112,138.53875,1063.715,155.03929,327.395,POSITIVE
1477.6138,311.19875,85.09375,253.47143,204.0375,POSITIVE
1743.5012,271.65375,339.1,158.11071,221.43625,NEGATIVE
1293.24,179.535,183.9575,134.73929,168.565,NEGATIVE
524.665,299.57125,935.20375,191.89405,205.52625,POSITIVE
758.95375,206.49125,42.12875,93.008333,304.51625,POSITIVE
442.025,161.6675,733.76875,61.5,107.89,NEGATIVE
539.2975,161.0675,107.52375,76.67381,169.86375,NEGATIVE
630.7175,77.0975,42.74,85.822619,24.9925,NEGATIVE
1808.4338,165.985,147.19,122.43214,293.655,NEGATIVE
460.09625,231.88625,373.77125,123.15238,238.48125,POSITIVE
1146.92,154.31125,52.955,73.771429,105.4825,NEGATIVE
899.2225,180.6125,549.095,107.9119,18.78125,POSITIVE
